Time measurement,Displacement,Primary force measurement
(s),(mm),(N)
"0.00000","0.00000","0.74201"
"0.05000","0.00000","0.12994"
"0.10000","0.00000","0.02089"
"0.15000","0.00000","0.11798"
"0.20000","0.00010","-0.09293"
"0.25000","0.00027","0.87301"
"0.30000","0.00027","0.76836"
"0.35000","0.00027","0.85619"
"0.40000","0.00027","0.73367"
"0.45000","0.00027","0.79268"
"0.50000","0.00027","0.55992"
"0.55000","0.00027","0.68523"
"0.60000","0.00027","0.57357"
"0.65000","0.00027","0.76274"
"0.70000","0.00027","0.62613"
"0.75000","0.00029","0.79963"
"0.80000","0.00035","1.06817"
"0.85000","0.00043","1.12702"
"0.90000","0.00050","1.41720"
"0.95000","0.00056","1.91588"
"1.00000","0.00062","1.85343"
"1.05000","0.00067","1.65192"
"1.10000","0.00072","2.11326"
"1.15000","0.00075","2.23952"
"1.20000","0.00080","2.05260"
"1.25000","0.00084","2.18472"
"1.30000","0.00088","2.79014"
"1.35000","0.00091","2.77550"
"1.40000","0.00096","3.02806"
"1.45000","0.00102","3.03371"
"1.50000","0.00107","3.30686"
"1.55000","0.00110","3.71529"
"1.60000","0.00113","3.75514"
"1.65000","0.00118","3.80236"
"1.70000","0.00123","4.30259"
"1.75000","0.00126","4.39148"
"1.80000","0.00131","4.54316"
"1.85000","0.00134","4.54385"
"1.90000","0.00139","5.01913"
"1.95000","0.00145","5.32656"
"2.00000","0.00150","5.53188"
"2.05000","0.00153","5.63037"
"2.10000","0.00157","5.67149"
"2.15000","0.00161","5.96659"
"2.20000","0.00166","6.38937"
"2.25000","0.00169","6.17305"
"2.30000","0.00174","6.34427"
"2.35000","0.00179","6.69906"
"2.40000","0.00182","7.26541"
"2.45000","0.00185","7.11774"
"2.50000","0.00190","7.22506"
"2.55000","0.00196","7.99020"
"2.60000","0.00198","7.80735"
"2.65000","0.00204","8.25908"
"2.70000","0.00206","8.15777"
"2.75000","0.00212","8.70392"
"2.80000","0.00217","8.85707"
"2.85000","0.00220","9.15365"
"2.90000","0.00225","9.08610"
"2.95000","0.00228","9.45561"
"3.00000","0.00233","10.01413"
"3.05000","0.00237","10.16559"
"3.10000","0.00241","10.20366"
"3.15000","0.00244","10.36378"
"3.20000","0.00249","10.68504"
"3.25000","0.00254","10.84399"
"3.30000","0.00257","12.05226"
"3.35000","0.00263","11.50584"
"3.40000","0.00265","11.21734"
"3.45000","0.00271","11.92786"
"3.50000","0.00273","12.92937"
"3.55000","0.00279","12.48185"
"3.60000","0.00281","12.31282"
"3.65000","0.00287","12.69608"
"3.70000","0.00289","13.54494"
"3.75000","0.00295","13.60099"
"3.80000","0.00297","13.64820"
"3.85000","0.00303","13.89359"
"3.90000","0.00307","14.38872"
"3.95000","0.00311","14.41816"
"4.00000","0.00313","14.87739"
"4.05000","0.00319","15.23958"
"4.10000","0.00324","15.90270"
"4.15000","0.00327","14.57803"
"4.20000","0.00332","15.66504"
"4.25000","0.00335","17.99010"
"4.30000","0.00340","16.00505"
"4.35000","0.00343","15.65217"
"4.40000","0.00348","16.35113"
"4.45000","0.00351","17.39680"
"4.50000","0.00356","17.58385"
"4.55000","0.00359","17.45567"
"4.60000","0.00364","17.69756"
"4.65000","0.00368","17.31387"
"4.70000","0.00372","18.81069"
"4.75000","0.00378","19.45828"
"4.80000","0.00383","18.98050"
"4.85000","0.00386","19.63737"
"4.90000","0.00388","19.82427"
"4.95000","0.00394","20.12932"
"5.00000","0.00399","20.93761"
"5.05000","0.00402","20.91069"
"5.10000","0.00407","21.13805"
"5.15000","0.00410","21.82907"
"5.20000","0.00415","21.78574"
"5.25000","0.00421","22.61647"
"5.30000","0.00423","22.87225"
"5.35000","0.00429","22.99877"
"5.40000","0.00431","23.75451"
"5.45000","0.00437","23.89011"
"5.50000","0.00442","24.53443"
"5.55000","0.00445","24.86497"
"5.60000","0.00450","24.93322"
"5.65000","0.00453","26.02475"
"5.70000","0.00458","26.27070"
"5.75000","0.00463","26.83514"
"5.80000","0.00466","26.92708"
"5.85000","0.00471","27.29592"
"5.90000","0.00474","27.64735"
"5.95000","0.00479","28.11785"
"6.00000","0.00485","28.88335"
"6.05000","0.00489","28.92097"
"6.10000","0.00493","29.31108"
"6.15000","0.00498","29.78334"
"6.20000","0.00501","30.32780"
"6.25000","0.00506","30.81125"
"6.30000","0.00512","31.26374"
"6.35000","0.00517","31.73229"
"6.40000","0.00520","32.40020"
"6.45000","0.00525","32.76301"
"6.50000","0.00528","33.02016"
"6.55000","0.00533","33.43426"
"6.60000","0.00538","34.05330"
"6.65000","0.00541","34.32568"
"6.70000","0.00546","34.89383"
"6.75000","0.00549","34.98182"
"6.80000","0.00554","35.60502"
"6.85000","0.00557","35.66370"
"6.90000","0.00562","36.36084"
"6.95000","0.00565","36.98018"
"7.00000","0.00571","37.13960"
"7.05000","0.00576","37.68564"
"7.10000","0.00579","38.02642"
"7.15000","0.00584","38.25300"
"7.20000","0.00587","39.18935"
"7.25000","0.00592","39.52594"
"7.30000","0.00597","40.00527"
"7.35000","0.00600","40.32875"
"7.40000","0.00603","40.67385"
"7.45000","0.00608","41.13924"
"7.50000","0.00613","41.63728"
"7.55000","0.00616","42.20835"
"7.60000","0.00622","42.62508"
"7.65000","0.00624","42.97213"
"7.70000","0.00629","43.42900"
"7.75000","0.00635","43.68281"
"7.80000","0.00638","44.29303"
"7.85000","0.00640","44.62417"
"7.90000","0.00646","45.11560"
"7.95000","0.00651","45.34286"
"8.00000","0.00654","46.08169"
"8.05000","0.00659","46.36629"
"8.10000","0.00662","46.76371"
"8.15000","0.00667","47.35832"
"8.20000","0.00670","47.76658"
"8.25000","0.00675","48.13652"
"8.30000","0.00678","48.60614"
"8.35000","0.00683","48.81533"
"8.40000","0.00688","49.43428"
"8.45000","0.00691","50.05637"
"8.50000","0.00696","50.66568"
"8.55000","0.00699","51.10033"
"8.60000","0.00704","51.54000"
"8.65000","0.00707","51.72544"
"8.70000","0.00712","52.58598"
"8.75000","0.00716","52.94310"
"8.80000","0.00721","53.28276"
"8.85000","0.00726","53.87466"
"8.90000","0.00729","54.01591"
"8.95000","0.00734","54.65115"
"9.00000","0.00737","55.56667"
"9.05000","0.00742","55.25878"
"9.10000","0.00745","56.12417"
"9.15000","0.00750","56.61947"
"9.20000","0.00753","56.94900"
"9.25000","0.00758","57.32959"
"9.30000","0.00763","57.77852"
"9.35000","0.00766","57.95972"
"9.40000","0.00769","58.60068"
"9.45000","0.00774","59.17385"
"9.50000","0.00780","59.65586"
"9.55000","0.00782","60.06198"
"9.60000","0.00785","60.34198"
"9.65000","0.00790","61.25350"
"9.70000","0.00793","61.57394"
"9.75000","0.00798","62.11990"
"9.80000","0.00801","62.21888"
"9.85000","0.00804","62.59098"
"9.90000","0.00809","63.25063"
"9.95000","0.00812","63.69625"
"10.00000","0.00815","64.05100"
"10.05000","0.00820","64.31242"
"10.10000","0.00823","64.83426"
"10.15000","0.00828","65.56610"
"10.20000","0.00833","65.99634"
"10.25000","0.00836","66.73033"
"10.30000","0.00841","66.93281"
"10.35000","0.00844","67.40881"
