Time measurement,Displacement,Primary force measurement,Composite strain,Flexure stress
(s),(mm),(N),(mm/mm),(MPa)
"0.00000","0.00000","-0.20664","0.00000","-0.04879"
"0.02000","0.00000","-0.17761","0.00000","-0.04193"
"0.04000","0.00000","-0.30034","0.00000","-0.07091"
"0.06000","0.00000","-0.28541","0.00000","-0.06739"
"0.08000","0.00000","-0.22710","0.00000","-0.05362"
"0.10000","0.00000","-0.18882","0.00000","-0.04458"
"0.12000","0.00000","-0.20419","0.00000","-0.04821"
"0.14000","0.00000","-0.15541","0.00000","-0.03669"
"0.16000","0.00000","-0.06444","0.00000","-0.01521"
"0.18000","0.00000","-0.07713","0.00000","-0.01821"
"0.20000","0.00000","-0.03122","0.00000","-0.00737"
"0.22000","0.00012","0.03263","0.00000","0.00771"
"0.24000","0.00024","0.77899","0.00001","0.18393"
"0.26000","0.00024","1.75219","0.00001","0.41371"
"0.28000","0.00024","2.06836","0.00001","0.48836"
"0.30000","0.00024","2.18921","0.00001","0.51690"
"0.32000","0.00024","2.16131","0.00001","0.51031"
"0.34000","0.00024","2.14402","0.00001","0.50623"
"0.36000","0.00024","1.97876","0.00001","0.46721"
"0.38000","0.00024","1.99583","0.00001","0.47124"
"0.40000","0.00024","2.13545","0.00001","0.50420"
"0.42000","0.00024","2.12176","0.00001","0.50097"
"0.44000","0.00024","2.04997","0.00001","0.48402"
"0.46000","0.00024","2.08313","0.00001","0.49185"
"0.48000","0.00024","2.01987","0.00001","0.47691"
"0.50000","0.00024","1.95016","0.00001","0.46045"
"0.52000","0.00024","1.87370","0.00001","0.44240"
"0.54000","0.00024","1.81975","0.00001","0.42966"
"0.56000","0.00024","2.04630","0.00001","0.48315"
"0.58000","0.00024","2.17985","0.00001","0.51469"
"0.60000","0.00024","2.06236","0.00001","0.48695"
"0.62000","0.00024","1.90079","0.00001","0.44880"
"0.64000","0.00024","1.87045","0.00001","0.44163"
"0.66000","0.00027","1.96836","0.00001","0.46475"
"0.68000","0.00027","2.05930","0.00001","0.48622"
"0.70000","0.00027","2.14445","0.00001","0.50633"
"0.72000","0.00029","2.29817","0.00001","0.54262"
"0.74000","0.00032","2.47042","0.00001","0.58329"
"0.76000","0.00035","2.67353","0.00001","0.63125"
"0.78000","0.00035","2.82766","0.00001","0.66764"
"0.80000","0.00038","3.12749","0.00001","0.73844"
"0.82000","0.00040","3.33836","0.00001","0.78822"
"0.84000","0.00043","3.59521","0.00001","0.84887"
"0.86000","0.00046","3.93658","0.00001","0.92947"
"0.88000","0.00048","4.22993","0.00002","0.99873"
"0.90000","0.00049","4.43972","0.00002","1.04827"
"0.92000","0.00051","4.38963","0.00002","1.03644"
"0.94000","0.00054","4.60829","0.00002","1.08807"
"0.96000","0.00056","4.95837","0.00002","1.17073"
"0.98000","0.00059","5.23820","0.00002","1.23680"
"1.00000","0.00062","5.39573","0.00002","1.27399"
"1.02000","0.00062","5.84031","0.00002","1.37896"
"1.04000","0.00064","6.01723","0.00002","1.42074"
"1.06000","0.00067","6.08573","0.00002","1.43691"
"1.08000","0.00067","6.37371","0.00002","1.50490"
"1.10000","0.00070","6.56251","0.00002","1.54948"
"1.12000","0.00072","6.85692","0.00002","1.61900"
"1.14000","0.00072","6.98832","0.00002","1.65002"
"1.16000","0.00075","7.07342","0.00002","1.67011"
"1.18000","0.00078","7.22639","0.00002","1.70623"
"1.20000","0.00078","7.44272","0.00002","1.75731"
"1.22000","0.00080","7.74889","0.00003","1.82960"
"1.24000","0.00083","8.11609","0.00003","1.91630"
"1.26000","0.00083","8.45841","0.00003","1.99713"
"1.28000","0.00086","8.39499","0.00003","1.98215"
"1.30000","0.00088","8.74866","0.00003","2.06566"
"1.32000","0.00088","8.97370","0.00003","2.11879"
"1.34000","0.00091","9.00784","0.00003","2.12685"
"1.36000","0.00094","9.17770","0.00003","2.16696"
"1.38000","0.00094","9.52216","0.00003","2.24829"
"1.40000","0.00096","9.83723","0.00003","2.32268"
"1.42000","0.00097","9.94618","0.00003","2.34840"
"1.44000","0.00099","10.02925","0.00003","2.36802"
"1.46000","0.00102","10.30006","0.00003","2.43196"
"1.48000","0.00102","10.42166","0.00003","2.46067"
"1.50000","0.00104","10.70428","0.00003","2.52740"
"1.52000","0.00107","10.86969","0.00003","2.56645"
"1.54000","0.00107","11.26376","0.00003","2.65950"
"1.56000","0.00110","11.55358","0.00003","2.72793"
"1.58000","0.00113","11.86646","0.00004","2.80180"
"1.60000","0.00113","12.05390","0.00004","2.84606"
"1.62000","0.00115","12.25556","0.00004","2.89367"
"1.64000","0.00117","12.35155","0.00004","2.91634"
"1.66000","0.00118","12.61728","0.00004","2.97908"
"1.68000","0.00121","12.96320","0.00004","3.06076"
"1.70000","0.00121","13.15864","0.00004","3.10690"
"1.72000","0.00123","13.21151","0.00004","3.11938"
"1.74000","0.00126","13.45808","0.00004","3.17760"
"1.76000","0.00126","13.63120","0.00004","3.21848"
"1.78000","0.00129","14.02762","0.00004","3.31208"
"1.80000","0.00131","14.30192","0.00004","3.37684"
"1.82000","0.00131","14.51170","0.00004","3.42637"
"1.84000","0.00134","14.55883","0.00004","3.43750"
